Title,Story_Trunc120Char,,,,,,,,,,,
Vertical Marathon Fundraiser for ACRES,"Hi friends! We are Dennis, Rachel, Sarita, Wei Qiang, and Willis, and we're taking part in the Tembusu Vertical Marathon ",,,,,,,,,,,
I'm No Stranger,"IMPORTANT Instructions to purchase a T-shirt: With every T-shirt sale, SDI Academy will gift a Dr. English guidebook to ",,,,,,,,,,,
Help Jane Beat Colon Cancer,Please help save Jane’s life Jane is only 36 years with a young daughter but has been diagnosed with aggressive stage 4 ,,,,,,,,,,,
Solidarity Gift for SG Livelihoods Fund by Rodney Lee @WeGiveInSolidarity,"Dear friends,

Join me in donating your Solidarity payment of $600 to the community in need. I would be donating my Solidarity ",,,,,,,,,,,
Help Stroke-stricken Migrant Brother Meet His Family Again!,"Help Stroke-stricken Migrant Brother Ponniya to Meet His Family Again! Mr Ponniya Murugesan is a 45-year-old Indian, who ",,,,,,,,,,,
UNHEARD FOR DOT: An Online Charity Concert,Donate now to support underprivileged women in Singapore in these challenging times so they can provide for themselves and ,,,,,,,,,,,
Support 'R' - a Muslim migrant worker with cancer (ZAKAT ELIGIBLE) | Bantulah ‘R’ – Pekerja Asing Muslim Penghidap Barah (LAYAK MENERIMA ZAKAT),"Update (11 May): We've met the $25,000 target for R, thank you so much!!! The link to donate is still open, but any funds ",,,,,,,,,,,
Let's Eat & Walk 4ward,I am pledging to walk 50km and raise funds to support my organisation's programmes serving (ex-)inmates and their families.Lakeside ,,,,,,,,,,,
Final Journey Funeral Expenses - HJ0261A,"We regret to announce that Uncle Ponnapalam who is under our care had passed away yesterday. Uncle Ponnapalam, a senior ",,,,,,,,,,,
Credit Suisse x Children's Aid Society - Standard Chartered Singapore Marathon (SCSM) 2018.,About the campaign Children's Aid Society is proud to be partnering Credit Suisse Singapore for the upcoming SCSM 2018 (8 ,,,,,,,,,,,
4 Million Steps for Lakeside Family Center,"Lakeside Family Services launched its first A MILLION STEPS fundraising campaign in 2020, targeting to reach 1 million steps ",,,,,,,,,,,
Sharon's fundraising campaign,"Turning 27 this year, I'm planning to host a series of yoga classes (private/group) and workshops to raise funds for Club ",,,,,,,,,,,
Give Premature Baby Avery A Chance,"Help our Pre-term Baby Avery with her Medical Bills Baby Avery came into this world at just 30 weeks and 5 days, and delivered ",,,,,,,,,,,
MFAC20: Fund A Hawker Campaign,"Music for A Cause 20: Supporting 5 x Local Hawkers In partnership with Hawkers United, Music for a Cause will be looking ",,,,,,,,,,,
Help To Bring My Twins Home,"Dear givers,

My name is Sivakumar originally from India, and along with my wife Bhuvaneswari, who is a home maker, I have ",,,,,,,,,,,
Help Baby Chloe Amara,"Please help us to save our daughter, Chloe Amara My name is Oliveiro and I’m pleading your help to save my baby Chloe Amara.

My ",,,,,,,,,,,
86th Coy Fundraising for New BBHQ,"The Boys' Brigade in Singapore is relocating to new Headquarter premises at 10 Kwong Avenue soon, where we will continue ",,,,,,,,,,,
Give little Aahana a chance at life with heart surgery,"Little Aahana was born with rare congenital heart disease, TOF, Pulmonary Atresia with VSD. 
Pulmonary atresia with ventricular ",,,,,,,,,,,
Help Migrant Worker Amin,Who is Amin? Amin is a 39-year old migrant worker from Bangladesh. A father of a 5-year old son and a 7-year old daughter. ,,,,,,,,,,,
"Solidarity Gift for SG Livelihoods Fund by Camper, Summer, Cory, Sienna, Quinn #WeGiveInSolidarity",There are people who have less than us. The government gave all Singaporeans $600 each. Our parents will pay it forward. ,,,,,,,,,,,
Supporting individuals and families who require food support,"With the current COVID-19 Phase 2 Heightened Alert situation and as restrictions continue to be in flux, we foresee that ",,,,,,,,,,,
Help Stroke Patient Domestic Helper Papin Recover!,"Help Stroke Patient Papin Have A Chance At Recovering & Living Her Later Years Decently. Dear Gracious Community,

My siblings ",,,,,,,,,,,
Help With My Deceased Husband Medical Bills,"Please help with my deceased husband medical bills My husband, Ramamurthy, came from India, to work in Singapore to provide ",,,,,,,,,,,
Help Premature Baby Hridhaan,"Help Our Premature Baby - Hridhaan Dear Givers, my name is Sanket and we are a family of three- Me, my wife Sonal, and our ",,,,,,,,,,,
Give the young man Nguyen Duc Thanh a fighting chance,Nguyen Duc Thanh is a first year student at FPT university in Vietnam. Two months ago he was suddenly diagnosed with a rare ,,,,,,,,,,,
Slightly Scarlet 2019 X GDS,"Each year, Slightly Scarlet strives to raise awareness for local beneficiaries, while providing an avenue for Bondue to ",,,,,,,,,,,
Help Baby Bao Hoang with Hydrocephalus,"Baby Boo Hoang celebrates his 2 years-old birthday recently, but it wasn’t all smooth sailing for him. In fact, he was born ",,,,,,,,,,,
Help my family through tough times,"Epilepsy, my wife got it in 2002.

More than ever, my wife and I need your help to keep going on. 

Despite my best efforts, ",,,,,,,,,,,
Pray for Noor Juliana,"DEAR ALL,THIS IS MY DAUGHTER CURRENTLY. I AM PLEADING WITH OUR SINGAPOREANS TO HELP US OUT. BABY JULIANA WAS BORN WITH A ",,,,,,,,,,,
(Private Campaign) Masterchef 2021,"Organised by NUH Department of Paediatrics, Khoo Teck Puat -- National University Children's Medical Institute, ""Masterchef"" ",,,,,,,,,,,
Help the children #Matching Fund #STARSHOWCASE #GreatSingaporeGive,"Be the one who helps. This campaign supports fundraising efforts in support of CARE's work in School Based Social Work

Your ",,,,,,,,,,,
Helping my son Muhammad Royyan medical expenses,"Update on 24 May: Dear Donors, once again, thank you for your overwhelming help towards our family in this time of grieve. ",,,,,,,,,,,
"NCSS - Gift, Gobble, Guide","NCSS is organising a year-end fundraising drive for staff, through the Heart Bus Heart Train (HBHT) Campaign as part of ",,,,,,,,,,,
Lifelong volunteer - Promote Social Responsibility,"Thank you for visiting my fundraising page! I hope you will support me in my cause by making a donation.
?????????????????????????27?? ",,,,,,,,,,,
Help My Uncle With Liver Cancer,"Please help my uncle for his Liver Cancer! My uncle, Meng Wai had been working in Singapore for the last few years.

End ",,,,,,,,,,,
"Help for Bibby, a special cat in a crappy situation.","We are raising funds for Bibby, a cat we found injured after a road accident. THE STORY On Sunday, July 29, while on the ",,,,,,,,,,,
To support Vietnamese children who are suffering from fatal illness (hydrocephalus) and facing financial challenges for their treatment in Singapore,"Dear Friends, As you may receive our birthday invites, we - Cathleen, Mina and Yen Thao - are eager to welcome you to our ",,,,,,,,,,,
Paying It Forward #SeasonOfGiving,This campaign is created on behalf of a Friend of Canossaville who has chosen to remain anonymous but still wants to do ,,,,,,,,,,,
Run for Courage Fund (for Covid-19),"Thank you :) During Covid-19, there are the people who are taking care of us–and people who might need more care than us ",,,,,,,,,,,
Air Search and Rescue Effort for Missing Diver Rinta Mukkam,Ms Rinta Mukkam is a 40yo Singaporean Diver and my close friend's sister who went missing off Komodo Islands near Gili Lawa ,,,,,,,,,,,
[Urgent] Can You Please Help India Battle Its COVID-19 Crisis Today? #StayStrongIndia,"Dear Friend, COVID-19 crisis continues unabated in metropolis of 20 million people A woman is consoled after her husband ",,,,,,,,,,,
Give a Breast Cancer patient a new life,"Appreciate if you could help, to give me a new life as a 3rd stage breast cancer patient My name is Lee Siew Yong and I’m ",,,,,,,,,,,
Free food & medical supplies for vulnerable street poor's & migrants during pandemic Covid-19,Please save street people & migrant workers in Bangladesh against Covid-19 Fundraising for Corona Virus relief As COVID-19 ,,,,,,,,,,,
Solidarity Gift for SG Livelihoods Fund by Lenard Pattiselanno #WeGiveInSolidarity,Hi! My name is Lenard and I decided to do this because the COVID-19 experience has been an opportunity to reflect on so ,,,,,,,,,,,
"Pre Dawn (Sahoor) meals for over 1,000 migrant workers","We are raising funds to provide Pre Dawn (Sahoor) meals for over 1,000 migrant workers who are in Factory-Converted and ",,,,,,,,,,,
Help Me Fight this Disease,"""Help Me Fight this Disease"" ""A generous person will prosper whoever refreshes others will be refreshed"" Proverbs 11:25 ",,,,,,,,,,,
Help Morgan Cycle out Poverty - COP2020 Competitive,Helping raise money to build homes for those in need. Targeting a total distance of 300km over an 8 day period. Any and ,,,,,,,,,,,
COVID-19: Support the Underprivileged,"As of Oct 2020, the pandemic is still ongoing with more than 30 million affected. Many are still struggling to find a suitable ",,,,,,,,,,,
Solidarity Gift for SG Livelihoods Fund by Gina Ho #WeGiveInSolidarity,The current COVID-19 pandemic is having an immense negative impact to the vulnerable in our community. My friends and I ,,,,,,,,,,,
Give voice to a cancer patient,"We hope to raise the amount required for Karim to proceed with surgery (laryngectomy) which will remove the cancerous tumour, ",,,,,,,,,,,
Help Jun Ye With His Medical Bills,"Mother of a 12 yrs old son, who fell from HBD flat, appealing for your help to save her only son. Jun Ye is a 12 years old ",,,,,,,,,,,
Help bring a smile to a chronically-ill child during Covid-19 #wegiveinsolidarity,Help chronically-ill children and their families during #COVID-19 with #wegiveinsolidarity You help to make a significant ,,,,,,,,,,,
Help Maricel With Her Ovarian Cancer,Maricel came to Singapore from Philippines to work as a domestic helper 15 years ago. She’s a single mother struggling to ,,,,,,,,,,,
[SGAID] Help Refugees & Asylum Seekers In Thailand,This is a refugee-led initiative. Help vulnerable urban refugees and asylum seeker Thailand with their pressing needs. ,,,,,,,,,,,
Birthday Fundraiser for Singapore Association of the Visually Handicapped (SAVH),"With less than 1% of Singapore's population estimated to be visually impaired, they remain a severely overlooked segment ",,,,,,,,,,,
Let's give Anilyn a fighting chance with her cancer,"Anilyn Bernabe only remembered occasional minor pains on her right hip about a year ago. On 9 August this year, she decided ",,,,,,,,,,,
"RUNraiser, a fundraising campaign for our migrant friends!","RUNraiser, a fundraising campaign for our migrant friends! Migrant workers are an integral part of Singapore’s progress ",,,,,,,,,,,
The War against COVID,"The fight against covid is not yet over. While most of us are fortunate to be safe and healthy, there are a good number ",,,,,,,,,,,
Paint with Love!,"The start point of this campaign was teaching myself how to paint by watching youtube videos. Though not trained in art, ",,,,,,,,,,,
Give Hope To Kitty,"3 year-old Vietnamese girl named Nguyen Truc Anh also known as Kitty, is a pediatric patient currently at Singapore National ",,,,,,,,,,,
Help Baby Ishan Fight Metabolic Disorder,Our 1-month-old baby boy Ishan is diagnosed with Neonatal Metabolic Disorder - Critical Medical conditions Baby Ishan was ,,,,,,,,,,,
Help Ti Phaw To Recover,Ti Phaw is my father’s helper from Myanmar. She started working for my father in Jan 2020. She has been a great helper and ,,,,,,,,,,,
Help Little Khang With His Leukemia,"Little Khang was a happy 7 year old boy who moved to Singapore in 2014 when his mother, Thuy, remarried to Singapore from ",,,,,,,,,,,
Help fund for unexpected huge medical bills,I am Sathish having permanent residential status living in Singapore.  My parents came to visit my house and suddenly my ,,,,,,,,,,,
TE CSR fund raising,#VALUE!,,,,,,,,,,,
Please Help My Baby Aaron,"Baby Aaron was born on 06 April 2021, premature at 32 weeks and his actual due date is on 30 May 2021. My wife and myself ",,,,,,,,,,,
Bring a smile and make a difference,"Thank you for visiting my fundraising page! I hope you will support me in my cause by making a donation.

Donating is really ",,,,,,,,,,,
Help Sau Chan Battle Lymphoma,Help mother of 2 out of her current crisis Sau Chan and her spouse came from Malaysia and work in Singapore for more than ,,,,,,,,,,,
Butterfly Effect,Did you know your donation has a butterfly effect? The butterfly effect refers to the theory that a tiny action can cause ,,,,,,,,,,,
Help Philibert raise money for the Singapore Cancer Society,"Thank you for visiting my fundraising page! I hope you will support me in my cause by making a donation.

Donating is really ",,,,,,,,,,,
Save Baby Quynh From Stage 4 Neuroblastoma,"Baby Quynh was born on July 15, 2017, and she’s the second child in the family. Her parents came from Northern Central Province ",,,,,,,,,,,
2021K Grocery Run,"In this challenging time of COVID-19, many of our children and families are going through hard times due to the uncertain ",,,,,,,,,,,
Help a 4 year old live again,Family urgently needs financial help A little boys heartache Video https://vimeo.com/263831285#at=4 Click on the red link ,,,,,,,,,,,
Give Baby Hai Dang A Second Chance,"Baby Ha Dang had previously seek help from us for his Sarcoma in early January 2020.

To recap, the current 16 months old ",,,,,,,,,,,
Feed those with needs... with meals of Dignity,"Meals prepared by people in need, for others in need There is a part of society hit harder than the rest by the Circuit ",,,,,,,,,,,
"Shane runs in ""towkay"" & Spiderman costumes!","Hi everyone :) Thank you for visiting my fundraising page!

I am Shane and I will be participating in the GIVE Virtual Run ",,,,,,,,,,,
Ride with M.E. fundraising for Ride for Rations 2021,"We are from Mount Elizabeth Hospital and Mount Elizabeth Novena Hospital. 

Our campaign, Ride with ME (short for Mount ",,,,,,,,,,,
Give Baby Kyrie A Chance To Fight!,"Baby Kyrie was born premature at 26 weeks and had been in hospital ever since. Together with his twin sister, Kaery, both ",,,,,,,,,,,
Help Mary Joy With Brain Aneurysm,Please help my domestic helper Mary Joy who had contracted aneurysm(rupture of the brain's blood vessel) on 6th July21 My ,,,,,,,,,,,
"The Social Delivery - Delivering smiles, one meal at a time",Who are we? A group of 3 students who are keen to make a difference in the lives of vulnerable individuals and families ,,,,,,,,,,,
Troy is riding 250km from Malacca to Singapore for Charity,"Introduction

Ever wondered what a family that is struggling for a living may be dreaming of? Just food on the table. Yup! ",,,,,,,,,,,
Bone Marrow Transplant To Save Ryu Life,"Ryu is 6 years old this year, and he’s born on 2012 May. Ryu has been attending pre-school, and was a very active boy, always ",,,,,,,,,,,
Child Brain Cancer Survivor Fighting For Food,I Fought Brain Cancer and Now I am Fighting For Food 10-year old brain cancer survivor pleading for support of livelihood ,,,,,,,,,,,
Carla's Chiang Mai Home Building Trip!!,"Hi everyone!! As we embark on a brand new year, let us not forget the many families that may not be as fortunate as us!! ",,,,,,,,,,,
Help Miss Hong For Her Throat Cancer,"Miss Hong, is 35 years old this year, and a proud mother of 2 children, until 2 years ago when she was diagnosed with throat ",,,,,,,,,,,
Please Help an Abandoned Poodle with a Broken Leg,"Hi everyone, Meet Kylie (formerly Cherry). She’s a beautiful two year old poodle with a broken hind leg that was recently ",,,,,,,,,,,
Save My Husband Senthil,"My name is Sheela and my husband is Senthil, both of us are Indian national working in Singapore holding employment pass.. ",,,,,,,,,,,
Hampers for Low-Income Families #AIWFC x #GreatSingaporeGive,"Bless 45 families with a Christmas Hamper!

This Christmas, we would like to give practical care items to those in need. ",,,,,,,,,,,
Team SIG | Ride for Ration 2020 |,Team SIG fundraising by Jason Chew/Paul Goh/Guo Xian for SunLove Abode for Intellectually Infirmed Ltd in support for Bike-Aid ,,,,,,,,,,,
Give a support for premature baby Venice,"We need your prayers and help for my 27+5 weeks premature baby girl is in the Neonatal Intensive Care Unit. 
I am a Malaysian ",,,,,,,,,,,
Help Tha Mee With Her Stomach Cancer,"Help Tha Mee with her surgery bill and cancer treatment Tha Mee had been working for my family for the last 7 years, looking ",,,,,,,,,,,
Help my wife fight for her life in ICU,Help my wife fight for her life in ICU My wife Wen Bin and I have been married for two years. We live in Singapore as I ,,,,,,,,,,,
Help My Son Ethan Fight Epilepsy,"Our Son Ethan’s Brain Surgery to help reduce his debilitating seizures! With all other options exhausted, our 12 year old ",,,,,,,,,,,
Wong Heang Fine #SJVirtualCharity Brisk Walker,"In conjunction with Surbana Jurong's sixth anniversary, my colleagues and I have been walking, running or cycling to raise ",,,,,,,,,,,
Art With A Cause!,"For this year, we would like to give back to the community. For this initiative, we will be tapping onto your Champ's artwork. ",,,,,,,,,,,
108 Sun Salutations for India,"Hi friends,

India's Covid-19 situation needs no more introduction. Join me in dedicating 108 Sun Salutations to our friends ",,,,,,,,,,,
Help Jacquelyn Survive Cancer for her Two Young Kids,"Jacquelyn was diagnosed with squamous skin cell carcinoma just a few weeks ago after discovering a lump on her head, that ",,,,,,,,,,,
Help Weiye To Raise His Medical Fees,Weiye is an extraordinary man! You might have seen or heard about a Singaporean started an orphanage in Vietnam and even ,,,,,,,,,,,
New Mother Battling Stage 3 Breast Cancer during COVID-19 #StrongerTogetherConnie,"Please donate to help Connie conquer Stage 3 breast cancer Connie Sun lives in Seoul, Korea with her husband and 11-month-old ",,,,,,,,,,,
#wegiveinsolidarity: Help our HOME-builders (For Migrant Workers during Covid-19),"#wegiveinsolidarity Hello everyone, 

thank you so, so much for clicking on this link :”)  I’m Amanda, and I guess this ",,,,,,,,,,,
Help Jeany Recover From Heart Attack,"My name is Jeany Juarana. I am 39 years old and I come from Bago City, Philippines. I am a domestic helper working in Singapore ",,,,,,,,,,,
life cycle,"TUN believes that apart from supporting the community in through our duty of care as nurses, Nurses should also support ",,,,,,,,,,,
Yoda+Sharon Ride for Rations 2020,We will be doing a 400km fundraising ride this September with Bikeaid's Ride for Rations 2020 to raise funds for  Sunlove ,,,,,,,,,,,
Barclays Charity Ride for Aidha 2019,A group of Barclays colleagues will take part in OCBC cycle event on May 12th as corporate team into The Sportive Ride (42km) ,,,,,,,,,,,
"Singapore Prison Service (SPS), ComC Cares!","The origins of Singapore's penal system may be traced back to the arrival of the first batch of convicts in 1825. However, ",,,,,,,,,,,
Love Without Borders - Online Fundraising Concert,"Fundraising in aid of the marginalised children, whose education have been undermined by COVID-19 Love Without Borders is ",,,,,,,,,,,
Help Aunt Chwee Ang Pass on Peacefully..,Help Aunt Chwee Ang Pass On Peacefully Thank you for taking your time to read this post. My aunt Madam Toh Chwee Ang has ,,,,,,,,,,,
Chairs for Community - Support Rainbow Centre's New Campus!,"PULL UP A CHAIR AND JOIN OUR COMMUNITY! When you walk into a room full of people and there is no seat left for you, how ",,,,,,,,,,,
Help Madam Cheah,"Madam Cheah was happily married and working in Singapore for many years, and have a loving husband who dotes on her.

The ",,,,,,,,,,,
Help Give Yati A Fighting Chance,"We are fundraising with the goal of having Yati's light and fighting spirit around us for longer - for her kids, for her ",,,,,,,,,,,
Red Cross Youth - Greendale Secondary School,"Dear Friends

We are from Greendale Secondary School Red Cross Youth. We are raising funds for the Singapore Red Cross. ",,,,,,,,,,,
NCIS Cancer Fund & NUH Children's Cancer Fund,Note: We would like to seek your understanding that the issuance of tax deductible / non-tax deductible receipts will be ,,,,,,,,,,,
Brave the Front: Equip medical professionals in Indonesia with PPE to fight COVID-19,Help medical professionals in Indonesia #BravetheFront We are crowdfunding to raise money for the purchase of protective ,,,,,,,,,,,
Help Natarajan With Her Medical Bills,Natarajan Vellaiammal has been our beloved Foreign Domestic Worker was over 5 years. She came to Singapore in 2015. She ,,,,,,,,,,,
Free Food Point,Hi everyone. We at Krsna's Free Meals are seeing a 2-fold jump in beneficiaries with the recent announcement of tighter ,,,,,,,,,,,
Help little Laila beat leukaemia and see her 3rd birthday,"Two-year-old Laila urgently needs your help to see her next birthday. Like many young children, Laila loves birthdays! And ",,,,,,,,,,,
KDF Millennium Ride 1000km (10-14 Jan 2019) - Thomas Ng,"Dear all, On 10th-14th January 2019, a group of fund-riders will be embarking on the 6th KDF Millennium Ride, an annual ",,,,,,,,,,,
Please Give Tharuman A Chance To Recover,23yo Malaysian worker critically hurt in Singapore I'm a colleague of Tharuman and I'm helping him to start this campaign ,,,,,,,,,,,
giftsfromtheheart x rmhc,"This is a student initiative in conjunction with Ronald McDonald House Charities, whereby we will be fundraising through ",,,,,,,,,,,
Help Pawan pay for her serious medical condition,"Pawanjeet needs your heartfelt financial support and best wishes Background

Pawanjeet Kaur is a domestic helper who has ",,,,,,,,,,,
Surgeries Funds for Baby Johanna,Meet the courageous Baby Johanna. Baby Johanna was born prematurely at 34 weeks in September 2017. She was diagnosed with ,,,,,,,,,,,
Give Madam Rai Hope,"Help Madam Rai Madam Rai came to Singapore 10 years ago and married her husband, till to date, she is still holding a long ",,,,,,,,,,,
Help raise funds for people with disabilities like me,My name is Joash and I’m a Secondary 1 student at Anglo-Chinese School (Barker Road). I was born with cerebral palsy which ,,,,,,,,,,,
Help Berna Recover from Stroke,“The greatest good is what we do for one another.” ~Mother Teresa. My sister Berna is the eldest among four siblings in ,,,,,,,,,,,
"2020 Rain or Shine, Teresa Supports MS","Hi there! My name is Teresa, and I am a 2020 Multiple Sclerosis (MS) Ambassador. Some of you know about my sister, Shannon. ",,,,,,,,,,,
Please Help To Raise Funds For Premature Twin Babies Treatment,"Please help my friend, Sunil & Supriya, for their premature twins My name is Ali Yasir and I am raising funds for my friend, ",,,,,,,,,,,
Help Uncle Tan Get Rid of This Cockroach Haven,"Uncle Tan, a single senior elderly, age 80, comes from the forgotten low income cluster of Singapore has been staying alone ",,,,,,,,,,,
Please Help Save My Aunt’s Life,"My auntie, Madam Kang Sie Mui is an Indonesian, residing in Batam (Indonesia). Having to raise 2 kids in rural Indonesia ",,,,,,,,,,,
Pampered Pooches Walk ONE MILLION Steps,"The video and photos you see here are just some of our regular daycare doggies. 

Rain or shine, we walk our daycare doggies ",,,,,,,,,,,
Give Hope to Noe Noe,"Myat Noe Khin or known as Noe Noe, is a 10 year-old girl who was diagnosed with Brain Cancer since 2012 (when she was 2 ",,,,,,,,,,,
Save Wawa from Starving,Time is running out! Wawa has a congenital condition called Vascular Ring Anomalies. Her esophagus (food pipe) is constricted ,,,,,,,,,,,
Help Julie Recover From Multiple Organs Failure,Help Julie Ann Ubaldo Lucero to Recover from Multiple Organs Failure due to Severe Blood Poisoning Thank you for taking ,,,,,,,,,,,
Give Migrant Worker Islam A Chance To Live,"Give 22 years old Islam a chance to live. Islam Md Haduil came from Dhaka, Bangladesh and been working in a the construction ",,,,,,,,,,,
Strokes of Vigour,We are 3 sisters who started to learn calligraphy since 4 years old. We would like to share our works to support the Straits ,,,,,,,,,,,
"2019 Rain or Shine, Sheryn, Jovahn and Tiong Beng Cycle for MS","Hi there! We are Sheryn, Jovahn and Tiong Beng, and we are Multiple Sclerosis (MS) Cycle Ambassadors. Together with other ",,,,,,,,,,,
"KNOCKED DOWN, BUT NOT OUT HELP QINGBIAO","Qing Biao was a recent university graduate in a new job, but he was tragically struck down while innocently crossing the ",,,,,,,,,,,
Help Dac Nhan To Reduce His Pain,"Updated 18 December 2019: Bad news! Dac Nhan was in Singapore until 29 November for his after hospital check-up, and he ",,,,,,,,,,,
Safe4Now - End suicides - #GivingWeekSG #GreatSingaporeGive,"Dun let them leave the world with regrets. Let's keep them Safe4Now

Every life is precious especially those who have yet ",,,,,,,,,,,
#PledgeYourSolidarity & share your surplus #wegiveinsolidarity,#PledgeYourSolidarity & share your surplus vulnerable Singaporeans who need a safe home to shelter in. Got some extra funds ,,,,,,,,,,,
Give baby Yi Xin a fighting chance,"On June 3, 2020, my aunt was admitted to the hospital to have a baby immediately because of an accidental increase in her ",,,,,,,,,,,
Help Baby Niyaz Fight End Stage Liver Disease,"Baby Niyaz needs a Liver Transplant! Dear Givers,
 
My name is Zakiah and I am a mother to 10 month old Baby Muhammad Niyaz ",,,,,,,,,,,
Fund Raising for Indonesia Sulawesi quake-tsunami relief,"Dear all, on behalf of Red Cross and as a member of the public, i've started this campaign to to raise funds for this cause. ",,,,,,,,,,,
Bynd Artisan #JustOneThing: Pay it Forward and Get a Notebook Designed by Kristen Kiong,"Under this #JustOneThing campaign with Bynd Artisan, we invited 12 influencers to design their own unique notebook by reflecting ",,,,,,,,,,,
SingaporeCancerSociety-Talkmed Relay For Life(FirstAdviser),Thank you for visiting First Adviser fundraising page! We hope you will support us in our cause by making a donation. Donating ,,,,,,,,,,,
BAG-to-School 2022 for Children in Collaboration with Soulrich Foundation,"The beginning of a new year is usually an exciting time for students as they embark on a new school year. However, for children ",,,,,,,,,,,
Give Gracelyn A Second Chance,"Gracelyn came on GIVE.asia last year, when she’s seeking treatment for her second transplant for her Myelodysplastic syndromes, ",,,,,,,,,,,
"#PeopleforGUI - Share, Give and Double-up for Ground-Up Initiative","Campaign Goal Reached! [Update 25 Oct 2018] Hi everyone, apologies that it's taken the team some time to tie up loose ends. ",,,,,,,,,,,
Baby Rheya Needs Your Help,Baby Rheya Needs Your Help to Get the Liver Surgery She Needs for a Chance at Life This is Baby Rheya. She currently has ,,,,,,,,,,,
Give Chee Mun A Chance To Recover,"Give Chee Mun a chance to recover! Chee Mun came from Malaysia to seek a living in Singapore, working as a Chef in one of ",,,,,,,,,,,
Help Yemen with Medecins Sans Frontieres (Doctors Without Borders),"A while ago, I shared what little I knew about Yemen on my socials. A historically rich and diverse landscape many of us ",,,,,,,,,,,
Help My Premature Baby Jero,"Help our Premature Baby Jero. My name is Chee Hou, myself and my wife are from Malaysia working in Singapore. 
He is my ",,,,,,,,,,,
Baby Audri Need Your Blessing,Baby Audri’s parents were ecstatic when she was born nearly 4 months ago. Their only daughter was happy and well until she ,,,,,,,,,,,
Help Baby Huyen With Her Hydrocephalus,"Baby Huyen was born with Hydrocephalus and she’s 3 years old this year.

When the parents came to know about it, she’s already ",,,,,,,,,,,
COVID-19 Response,"2019 Novel Coronavirus - Singapore Red Cross to launch public appeal to support affected and at-risk communities (Dear Friend, ",,,,,,,,,,,
Help Children with Hearing Loss Receive Early Intervention #SeasonOfGiving,"Your GIFT creates REAL impact!

Meet Charmaine (not her real name), a 3-year-old student who benefits from the Early Intervention ",,,,,,,,,,,
Help Thu An with her Hydrocephalus,"Thu An came from the Northern Central Coast of Vietnam call Thanh Hoad Province, and the family are from the middle class. ",,,,,,,,,,,
Live Online Workout for Good,"LIVE ONLINE WORKOUT FOR GOOD Context: Circuit Breaker may be ending soon, but many families are still facing with the daunting ",,,,,,,,,,,
Help My Baby Kyo Medical Bills,"Please help my baby with Congenital Lung Emphysema My name is Lee Bin Li, 29 years old Malaysian, currently a PR in Singapore. ",,,,,,,,,,,
Give Lok Wai Khuen A Chance To Recover,Help Lok To Pay For His Medical Bills to fight His Rectum Cancer I am helping my colleague to raise fund for his medical ,,,,,,,,,,,
