Title,Story_Trunc120Char
"Please help my 67 y/o mother, who only has a 50-50 chance of living, to be able to spend time with her grandchildren again","Dear Friend, If you're a fellow mother or grandmother, please do read on and consider helping us... My name is Emie, and "
Give Thea a fighting chance against Cancer,"Mathea Shien Gazzingan, aka ""Thea"" by her friends and family, is a cheerful and full-of-hope 8-year old girl from Quezon "
MDAS Flag Day 2019,MDAS is holding our annual Flag Day on 27th April 2019. We need your help! Please donate generously. Every dollar will go 
We The Good - in support of AWWA,"We The Good - We support those doing the good work where it really counts, bringing the most crucial fundraising initiative "
Pushing limits: Dr William Wan's 73rd birthday push-ups for social good,"While keeping active at home during the circuit breaker period, Dr William Wan challenged his followers to commit to 5 push-ups "
Baby Dinh Kien Need Your Help,"??k L?k is a province of Vietnam. It is located in Vietnam's Central Highlands, and is home to quite a few indigenous ethnic "
Reaching the peak for the less privileged,"My name is Arfan Faisal and I am a 21 year old national cyclist.

I'll be the first to admit that I have been more privileged "
Help Save #BraveSaab's Transplanted Liver,Saab was diagnosed with Chronic Liver Disease (CLD) secondary to Caroli's Disease on March 2018. With the kindness and generosity 
Rohingya Refugee Food Aid,"We are a Registered Charity in Singapore that run campaigns involving Food security. From providing FREE Halal Meals, to "
India COVID-19 Response (Urgently Needed - Medical Equipment & Supplies) #staystrongindia,(Notes: Donations to overseas efforts are non-tax deductible. All funds raised will go towards the India COVID19 Response 
Fight On With Gabriel,"My only 8 years old son, Gabriel Vincent Sabedra, an 8 yr old boy was diagnosed with a malignant brain tumor (Medulloblastoma). "
Help Juanita Battle Breast Cancer,"Dear Donors,I am writing this letter with great hope in my heart.  My name is Juanita R. Sayo, an OFW in Singapore. I was "
Southeast Asia Floods 2020,"Singapore Red Cross to launch public appeal, send humanitarian aid to affected communities (Dear Friend, please note that "
Run for Funds,"Two years ago, I did my first fund-raising run to raise funds for a school building project. Many generous friends contributed "
Saving Sasha,"For those working or schooling at Admiralty Secondary or living near Crescent Park, Sasha the kitty will be a familiar sight "
Project R.I.C.E.+ 2021,Be the one to gift vulnerable families essential bundle sets! Your pledged amount will be used to purchase bundle sets consisting 
Help Cassie Fight Stage 4 Neuroblastoma Cancer,Cassie was a joyful 3 year old toddler with full of life and energy until she was hit with a severe case of Stage 4 Neuroblastoma 
"Urgent help for my uncle, Colon Cancer Stage 3","As cancer cells started to spread, and my uncle does not know how long he can live, My uncle, Mr Tan Boon Teck, youngest "
Path of Compassion - Virtual Run,Support our race participants and beneficiaries as they walk and run to raise funds for the low-income and disadvantaged 
Decade for Decisive Action: Help Advocate Business towards a Sustainable Future through GCNS Summit,"We believe that everyone has a little spark of motivation to save the world, especially in the face of world-changing objectives "
Raise fund for school destroyed by Typhoon in Philipines,"Hi, I am Thagarajan Seenivasagam, I am Singaporean working with the Urban Redevelopment Authority for the past 16 years. "
Help Ahmad (4) Get Heart Surgery,Ahmad is suffering from heart disease and is also abandoned by his parents. Ahmad's mother left him in an empty house when 
Save My Daughter Nabila,"My daughter, Nabila, is 5 years old and she’s suffering from Biliary Artesia. Biliary atresia is a disease of the bile ducts "
Grateful Hearts 2020,"Grateful Hearts 2020 As part of the Grateful Hearts 2020, the Singapore Red Cross (SRC) will be organising a  fundraiser "
Ride for Aidha 2020 - Give the gift of education,"For six years we’ve set the Aidha community an exciting annual challenge – to get on their bikes and #RideForAidha. Partners, "
My name is Sijia and I’m born premature,"Hi there, My name is Huang Sijia, and I was born on 7th July 2017, prematurely at 25 weeks. My birth was quite complicated, "
Help Nickson to fight Leukaemia,"My name is Nickson, and this is my story. Just like any teenager, I am an active 15 years old boy, with my bright future "
Greatness in Giving,"Celebrating the holiday season with the joy of giving.

The Great Room is coming together with all its members and community "
ACRES Charity Gala,Thank you to each and everyone of you who donated and purchased a ticket/s. TICKETS HAVE BEEN SOLD OUT. Please consider 
"""Fight with warrior MABLE ZANE""","Meet my warrior MABLE Mable Zane was born on May 9, 2017 and was then intubated for 10 days due to Lack of Oxygen diagnosed "
Keep Our Addiction Recovery Centre Running!,The Greenhouse is a substance addiction recovery centre for marginalised communities that find it hard to seek help out 
Will you help Anna on her 3rd battle against Leukemia?,"""Will you give me another chance to live?""                -Anna Anna is a fighter since Day 1, She is fighting for herself, "
Solidarity Gift for SG Livelihoods Fund by Darren Tan #WeGiveInSolidarity,"Dear friends,

For many Singaporeans $600 may not mean much – a week or two’s worth GrabFood deliveries from your favourite "
Save the Orphan Baby Kittens - 100 Days of Hope 2018,"Over the next 100 days or so, we will be working really hard to raise $1 million for a down payment of a permanent home "
Build a Home in a Home,"MWS Bethany Nursing Home was built more than 15 years ago. It's dated design is a reflection of the era where housing elderly, "
KDS COVID-19 LANGGAR OUTREACH -- FREE HEARTY VEGETARIAN MEALS FOR THE NEEDY,"""We are all facing the same storm, but in different ships."" We've heard this phrase time and time again throughout this "
Save The Orphan Baby Kittens,"The Cat Museum Singapore, a non profit run by volunteers, started rescuing cats and kittens since end 2014, finding good "
The Gift - A fundraising concert in support of Community Chest Singapore,"Feed To Care is proud to announce The Gift, a fundraising concert organised in support of Community Chest Singapore. The "
The Glasshouse,"The Glasshouse is a virtual creative sphere created by our internationally-acclaimed musicians, our brilliant illustrators "
Viking Scouts in Support of Run it Forward,"As scouts, we have pledged to serve others. As a parent-run open scout group, we want our scouts to grow up as active members "
Crisis Myanmar - Help the Hungry,"Help to Buy Rice and Basic Cooking Necessitates Food Distribution at Yatha Village, Mingyan Township on 9th June 2021- 650 "
Season of HOPE and Giving,"The best gift this season is your gift of heart and time.

The festive season is a time of celebration and gift giving with "
Help Madam Tieng Fight Stomach Cancer,"Madam Tieng is 69 years old this year, and she’s from Cambodia. Despite Covid, she was living a happy life till cancer struck "
save my wife life from cancer,"I am confused, desperate and lost. I really don’t know what to do. I am still silently crying out loud - won’t anyone help "
"Will you help raise funds for Rocco, Harlow, Pixie, Gustav & friends' medical bills today?","Will you please help us raise funds for stray cats' medical bills for the next 10 months, so that they can get better? Vet "
Climbing Mt. Kinabalu to Add Life to Seriously ill Children's Remaining Days,"On 18th September, I will be making my first climb of Mt. Kinabalu in Sabah, Malaysia. I am dedicating this climb to Rachel "
An Everlasting Love Story,"When my wife and I took our marriage vows 1 year ago, we promised to to take care of each other from that day forward, to "
We The Good - in support of Hope Initiative Alliance,"We The Good - We support those doing the good work where it really counts, bringing the most crucial fundraising initiative "
Please help my mum for her ovarian cancer,"My mum move to Singapore from India to stay with me 10 years ago, and had been holding a Long Term Visit Pass, providing "
Saving Ngon from Acute Myeloid Leukemia,Ngon is a bright 14 year-old boy before he was diagnosed with AML and is currently seeking treatment at Raffles Hospital 
#CollectiveAction: Beyond's Youth United Programme,This campaign is in collaboration with Schroders Singapore #Collective Action Campaign and Beyond Social Services to support 
“15km for 15 days for Decent Homes”,"Thank you for visiting my fundraising page! I hope you will support me in my cause by making a donation.

Donating is really "
Help Patrice Fight Sarcoma,"Patrice is like any 12 years old girl, living a simple life in Surabaya, attending school and her CCA, until her leg felt "
Help Florentina to Live On & Reunite with her Family,"Florentina (Tina) is a diligent domestic helper who has been taking care of my family since August 2012, just 2 weeks before "
"Raising funds for my Dad, Ananthram's medical bills","My name is Aravind Bettadapur, son of Ananthram Bettadapur. I am a Permanent Resident residing in Singapore with my Wife "
Give Tai Hope To Live,"Nguyen Viet Tai is a curious, active 11 year old boy, he lead a simple life with his parents in Hanoi, go to school everyday, "
Urgent Donation Request for Selva Home For The Special One,"Dear donors, Will you help The Selva Home to raise fund for many unwanted handicapped orphans during this difficult time? "
Donate a meal today! (activpayroll x FFFA),"As the year comes to a close, the team at activpayroll gives back to the community in celebration of the spirit of giving."
Support the communities affected by second wave of COVID in India,"In wake of the current health crisis, the needs of the affected population have widened and increased manifold. The immediate "
Helping Singapore's Cardboard Collectors,HAPPY PEOPLE HELPING PEOPLE (HPHP) Happy People Helping People is a not-for-profit foundation run by a collective of like-minded 
6 Months Infant With Hydrocephalus,"Baby Minh Hoang is only 6 months old, and the poor boy had contracted Hydrocephalus. Hydrocephalus is a condition in which "
Support Troubled Youths & Families,"Life Transfiguration Program (LTP) 

Beneficiaries (Public / Low/ Pro-Bono):
Youth with Pending Criminal Cases with poor "
NUS Faculty of Business Flag,"Thank you for visiting our fundraising page! We hope you will support us in our cause by making a donation.

Donating is "
"I love you, mum!","Voices of our heroes of the handcrafted flowers. Handicraft flowers at the Charity - MINDS, METTA, AWWA  We are planning "
"Our vision is to eliminate poverty through education, one student at a time.",Akaraka Ltd is a non-profit organization that is helping underprivileged young adults who are the best and brightest to 
Give Lewis A Chance to Live,"Lewis was a bubbly 8 years old boy from Indonesia who used to be a happy and cheerful kid, until a few weeks ago when he "
REACH Charity Run 2021 - Mission: MOVEleur,"REACH Charity Run 2021: Power UP! 50,000 KM Challenge is a virtual charity run/walk to help raise funds for REACH Community "
Bro Roger's Journey with Boys' Town,"I am a Brother of the Montfort Brothers of St. Gabriel. I came to Boys' Town (BT) in 1953, and have been in Spore for 68 "
Please help my friend's brother fight for his life from ICU to recovery,"Dear Friend, Will you please help to fund Reymark's urgent operation today? I am helping my best friend, Lovely's, family "
Say NO to #5133,"Decisions, decisions, decisions - what to eat and where to eat for our next meal can be a daunting challenge for some. For "
Project Guardian,Project Guardian is a student-initiated project which organises activities to engage dyslexic children and raise awareness 
Dawnminators Funds,Dawnminators collective spirit and efforts for #SGPAYSITFORWARD Redefining the purpose of a FanClub. Because together as 
Mom was gone. My husband may leave me soon too.,"Mom was gone. My husband may leave me soon too. Hello everyone! 
I am a mother of three little children, also a daughter "
CareBio Radiance in Life for Survivors,Attractive Gifts of exquisite handicraft and exlusive Tupperware hampers for all donors! We are committed to the fight against 
Help Phoenix Walk Again!,HELP PHOENIX WALK AGAIN! Three-year-old Phoenix has spent his life so far in a wheelchair. With promising signs of improvement 
Help the Homeless of Singapore,Why we started and what is the issue? We started Homeless Hearts of Singapore back in Jul 2014 to befriend the homeless 
[Lions Befriending Walk 2019] Sponsor a senior at $50,"Lions Befrienders (LB) will be holding its Lions Befriending Walk 2019 in support of our beneficiaries, the lonely and vulnerable "
"This Christmas, Donate SGD30 to get a CUTE Cat Portrait! ????",Christmas is the season of GIVING! Donate SGD30 and get an exclusively drawn portrait of your cat! ?? At Project LUNI Foundation 
"I Want To Live, Please Help Me!",Most of you might have read my story recently on the news about being ill-treated by my domestic helper that left a suction 
Taal Volcano Eruption Response,"[Taal Volcano Eruption] Singapore Red Cross launches public appeal; sends aid to affected communities (Dear Friend, please "
Disability is not an inability - Support people with disabilities today!,SPD is a local charity set up to help people with disabilities of all ages to maximise their potential and integrate them 
Supporting Migrant Workers in Factory Converted Dormitories,"Where will the funds go to Migrant workers now account for most of the new COVID-19 cases in Singapore. On the 13th of April, "
Help Baby Faith fight through her premature birth,We are migrant parents (Indian-Filipino) to our premature first baby born unexpectedly at 27 weeks in Singapore due to placenta 
Please help Razzel Grace,This is our helper Razzel Grace known to us as 'Yeye'. She has been working with us in Singapore for 3.5 years & is just 
Australian Alumni Singapore (AAS) Support For Australia,Australia has seen devastating bush fires in the last few months. Australian alumni in Singapore deeply feels for the land 
Please purchase our fundraiser and lend a helping hand to our beneficiaries!,Our fundraising event is aimed towards 2 things: To gather funds for our single mothers and low-income families. SHG also 
Help ?? raise money for ???,"Thank you for visiting my fundraising page! I hope you will support me in my cause by making a donation.

Donating is really "
Save Baby An Bao,The mother had been carrying twins for up to 6 months when the doctor's ultrasound revealed that one of the two children 
Yuogan's Story,My name is Vasuthan Yuogan and I’m born deaf. I’m 21 years old this year. My mother passed away in a tragic car accident 
Medical expenses for cerebral hemorrhage treatment,Medical certificate with diagnosis from Anxi Country Hospital. Help Mr Lin Wen Cong and his family with medical expenses 
One More Breath for Myanmar,"GIVE MYANMAR A CHANCE TO BREATHE ""Remember when people used to say that the only thing free in life is air?"" The expected "
Please help my premature baby Aeva save her eyesight and with her medical bills,"Dear friend and kind soul, Please help my premature Baby Aeva... My name is Rose, I am the mother of Shaneia Aeva, my prematurely "
Help Hubei Hospitals Fight Coronavirus in China,"Global law firm DLA Piper has seven offices throughout Asia. Over the past few weeks, we have been working to support local "
This 10-year-old boy needs your help to survive,"""Binh Minh is a wonderful boy from a lovely family. Despite the intensive chemotherapy, he is always happy and cheerful, "
Carry Hope Fundraiser 2021,"Hi everyone! My name is ""Hope"", Rare Disorders Society Singapore (RDSS) newly appointed mascot for our latest fundraising "
Support them with some kindness #covid19 #SGUNITED,"WE WANT TO GIVE THEM HOPE AND FAITH! Ever since this breakout, we are receiving many more requests for the Kindness pack "
Help Elderly widow operating cow farm for family from abusive man,I am doing this for a poor family in Thailand (Saraburi). My friend whom her mother is an elderly widow has been operating 
Help Rajagopala Fight Leukemia With A Bone Marrow Transplant,"I am Dr. Akshay Bhat, Ph.D. (Cancer Biology) from the National University of Singapore. I have been studying cancers for "
Black Sheep & Tabitha 2020,"The Black Sheep Every year BBH Singapore like to do something different, do some good, and help some people. Once again "
YOU x Liyana Dhamirah for the Marginalised in Singapore,"By now, many people think that being homeless was my rock bottom. It wasn’t. My impetus was when one day, after finally "
"Sulawesi - We Care, The Gift of Meals",Thank you for visiting my fundraising page! I hope you will support me in my cause by making a donation. Donating is really 
Help Devy With Her Stem Cell Transplant,"Devy was diagnosed with HLH Lymphoma Stage 4B in February 2018, and was cleared by the doctors then after her treatment "
give Frengky a chance!,"My name is Frengky, 43 years old. I want to raise funds for my treatment. Because I am unable to further fund my treatment, "
Q4 2021 Fund Raising & Virtual Walk-a-wheelathon,"With the COVID-19 pandemic, while we could not walk together in person this year - we can still walk together in heart & "
Help My Dad Fight Heart Failure,"Help My Dad Fight Heart Failure Sunday 7pm 14 June 2020

Thank you all so much for your loving support, it's been a difficult "
Ever had vision and may not see in the future....,Overview A Christmas Day born child named Siwakon Phochaweng of age 10 years old had got into an unfortunate accident on 
HELPING HANDS 2.0,"HELPING ONE PERSON MIGHT NOT CHANGE THE WHOLE WORLD,BUT IT COULD WOLRD CHANGE FOR ONE PERSON.

ARE YOU READY TO CHANGE ,GIVE "
Uplift the Lives of 100 Vulnerable Families this Hari Raya!,Gift a green packet to put food on the table for vulnerable families we serve this Ramadan! Your contribution will go a 
Project Blue Star Raises Funds in Aid of Red Cross Home for the Disabled,"Dear Friends, Warm greetings from the Organising Committee of Project Blue Star. Project Blue Star, a Charity Project initiated "
Take my solidarity payment. Others need it more #wegiveinsolidarity,"Background After the Solidarity Budget announcement, the wife and I looked at each other and said ""We don't need it, others "
"""Help Nayya to Fight Blood Cancer""","Dear Good people, My name is Arief Cahyanto and I am working as a lecturer in a state owned university in Bandung, Indonesia. "
Help Myanmar Breathe.,"The People of Myanmar need your help, every cent counts. Every donation gives them another shot at survival.  ""It staggers "
"Funds for Kumarasamy Natrajan’s family, sudden victim to heart attack",Dhanapakkiam and her three children had a video call with Natarajan on the night of 2nd February. It was a regular call. 
Save the heart of baby Khayden,"My daughter Luxley Khayden was diagnosed with Congenital Heart Disease(CHD), Ventricular Septal Defect(VSD), Patent Ductus "
Support Boccia Para Athletes,"Hi my name is Yurnita, coach for para sports named Boccia, a precision ball sport played by persons with physical disabilities. "
Credit Suisse - Race Against Cancer 2019,Credit Suisse staff fundraising page for Race Against Cancer 2019
Help Children Thrive and Grow! #CanossavilleDigitalFund,"Your GIFT creates REAL Impact!

Meet Rebecca (not her real name), one of the many students who benefit from the services "
Send Love to Philippines,"Super Typhoon Goni, the world’s strongest storm of the year 2020, had made a landfall in the Philippines on 1 November. "
Help Sonia beat leukemia,"If you were a parent, what would you do to give your child a chance at a longer life?

Unfortunately, this is a question "
Give Yang Yang a Second Chance,"A Second Chance for Yang Yang

In November 2020, we welcomed a very sweet but horribly malnourished dog to our shelter. "
#SGBeyondBorders - Support struggling families impacted by COVID-19 for the cost of a bubble tea.,"WHAT IS THIS ABOUT? The COVID-19 crisis has shook the global tourism industry at its core, causing thousands to lose their "
Save 7 year old grandson Andrew,Please continue to pray for Andrew and continue to help him.He is still doing his routine chemotherapy for maintenance while 
Shattered Dreams,"Everyone of us has dreams and aspirations, but my life ended when I was diagnosed with Multiple Sclerosis since 2005, which "
Help Mazno's fight against lymphoma cancer,"Help Mazno in his fight against lymphoma cancer Mazno, a Bangladeshi worker who has been diagnosed with Stage IV Burkitt's "
One Dollar Only supports The Reason We Smile - Children Need You,"Children are the reason many of us smile: when we see the wonder in their eyes, and how small and simple things can bring "
Help My Premature Baby Arishan,"Help our son, Baby Arishan and bring him home My name is Ayilan Nalliah. I am a Sri Lankan citizen who has been living and "
Beyond Limits 2: Frozen Edition,"Beyond Limits: Frozen Edition | In Support of Singapore Cancer Society | 8th - 19th December 2019

We have taken on the "
SBFC E-Flag Day 2021,Why we raise fund? SBFC's annual Flag Day has been a vital fundraising event to raise funds to sustain our operation. COVID-19 
Please help a 2 years kid to fight against Cancer,"Dear Friends and Well-wishers, I am writing this appeal letter on behalf of my son, Muhaiminul Haque, who has been diagnosed "
Buy a $3 meal for needy elderly,"Everything that is done in this world is done by hope.

Hi everyone! We hope to seek your support and donations for Hopes "
Bring my dad home,Hello eveyone.. My DAd is diagnosed with Brain Hemorrhage.. Leaving him to be in coma condition. He is on currently at Bed 
MDAS 20th Anniversary Charity Virtual Gala,"This year, the Muscular Dystrophy Association (Singapore), MDAS in short, is commemorating our 20th Anniversary. From our "
"ChariTrees 2021 in support of SOS, #ENGAGE & SOTA Endowment Fund","The on-going pandemic continues to impact the lives of our vulnerable communities. In response, ChariTrees fundraiser will "
My Father's Healing journey,"Helping My Father on his Healing Journey. My name is Raymond Valdez, the only son of Rosendo B. Valdez, and I am making "
,"Please support our premature baby I am Priyanka, from India and living in Singapore for the past 10 years. I was pregnant "
"Stories from the Heart, MDAS Charity Luncheon 2019",MDAS Welcomes you to Stories from the Heart Charity Luncheon 2019! Join us for an afternoon of enriching storytelling and 
The Parent Retreat for Club Rainbow,The Parent Retreat is a free activity book available for download from www.theparentretreat.com. It aims to prompt mindful 
DM: Support us in our fight against cancer,"“I can no longer speak properly or eat solid foods after undergoing 5 operations and removing my tongue”
-	Mr Tay Jim Hua, "
Please help save 14 y/o Josef from brain abscess,"Dear kind person,

My 14-year-old brother, Josef, was brought to the hospital on November 3 due to severe headache, nausea, "
A Journey of Bliss  - Wui Chiu Fui Kun 197th Anniversary Charity Concert 2019 for Singapore Red Cross Society,"ATTENTION: We are accepting donations for the Charity Concert 2019, and tickets are subject to availability as of 2 April "
Help Mildred with her medical bills,"Mildred needs your help Mildred came to Singapore to work 11 years ago, so as to support her family in the Philippines and "
Help Uncle Muhamadsjah To Recover,"Uncle Muhamadsjah has only one daughter, Yani, and she’s based in Singapore while he’s in Batam Indonesia.

He came to visit "
Save Niall from Cancer and help him to fight Autism,"Our son, Niall, is 2.5-year old and suffering from Autism. We have spent all our savings on his autism therapy until our "
VCA - raising funds for Sulawesi Earthquake,Thank you for visiting our fundraising page and supporting this cause by making a donation. Donating is really simple and 
(GM) Will You Help To Make a Difference In Their Lives?,"Dear Donor,

This year has been difficult with the world affected by Covid-19. In Singapore, vulnerable individuals and "
Help Emelyn Tagarda Gambito,"Emelyn comes from a small province of Guimaras, Philippines.  She is 32 years and she is a single parent with 4 children "
Help us bring our dad home,please help us bring our dad back home. We owe the hospital and we need to pay the rest of the sum to be able to bring our 
Help my father for his medical treatment,"Help Poh for medical treatment ?
Last Wednesday my father fainted and had stroke while he having breakfast at home. His "
A Mother’s Endless Love,"A mother’s love is endless and knows no bounds. She is willing to sacrifice everything for her child, even at the expense "
Save Kasandra,"Kasandra is 20 years old this year, and she looks like any ordinary teenager, but life is not always been a bed of roses "
Help to save Aahna from Lung Cancer,"**Final update for this campaign as at 01 June 2017: With a very heavy heart, I would like to inform you all that we have "
Free Food Fridays - In Aid of Rohingya Refugees,"Free Food Fridays is a campaign to provide warm nutritious meals to about 250 vulnerable refugees that are elderlies, widows "
'Give Louis Hope',"Hello everyone! My name is Lissa Irlandez. On behalf of my husband Louis, I’d like to reach out to your kind heart for donations. "
Help this family rebuild their lives,"Mr Shaikhan is a humble, hardworking man whose joy in life is to provide everything his family needs. He and his wife, together "
Please help our domestic helper Jovelyn to fight against cancer,"We are raising funds for our domestic helper Jovelyn who was diagnosed last month with an aggressive stage 3 Lymphoma, a "
"Deepening Roots, Sowing Seeds: 21st Anniversary Fundraiser","21 years is an age of new maturity, when we strengthen the core of our identity and mission while also building on those "
Decade for Decisive Action: Help Build A Sustainable Business Ecosystem Through Our Apex Awards,"With less than a decade to achieve the Sustainable Development Goals (SDGs) - a shared blueprint to end poverty, rescue "
LEX'MAS Art Sale - #09 Kampung Memories SGD100,"LEX'MAS Art Sale - #9 Kampung Memories
Price: $100.00 ((Please enter donation amount of at least $100 to purchase this painting)
Medium "
Save our daughter Saanvi from Blood Cancer,My daughter 5-year-old girl Saanvi fighting for life after she was confirmed by Acute Lymphoblastic Leukemia (Blood Cancer). 
You Can Make Miracles Happen!,"Dear Friend, You Can Make Miracles Happen! As we approach the year-end holiday season, have you thought of how you could "
Give baby alexis a new heart,Save alexis heart
Help Subhash And His Family,"Subhash work as an engineer in Singapore for many years, leaving his wife and 4 year old boy in India, where he usually "
Workout Warriors for Migrant Workers NGOs (2021),"“As long as poverty, injustice and gross inequality persist in our world, none of us can truly rest.” Nelson Mandela

Do "
FUND RAISING Music China Expo Oct 2018,"From year 2009 to 2014, I have began a transition journey that I have least expected; becoming a Guitar Maker. Browsing "
Give Hope To Trong Khanh,"Trong Khanh was an active young man, attending 2nd year University in Ho Chi Minh, and lead an active lifestyle playing "
Help Christine To Keep The Roof Over Her Head,As per request from Christine to blurred off her face due to her medical conditions. Christine is appealing for your help 
Help Pumpkin Fight Rare Disease,"My son is Huynh Nhat Anh (Pumpkin), born in 2016, at Binh Duong, Vietnam, he suffers from a serious disease known as Hemophagocytic "
Help Baby Le Bao An,"Baby Le Bao An is 14 months and had never been home since birth. She’s born premature at 30 weeks, and weigh normal at 1.5kg, "
Save Myanmar Lives,"We can’t breathe… 10 MINUTES. That is approximately the amount of time taken for us, humans, without oxygen to die. It takes "
,
,
"Please Give 4years old boy, Jayden a chance to rebirth","My name is Carol Chan, I'm the mother of Jayden Yew Zi Biin - a 4 year old kid who got diagnosed with JMML PTPN11 (Juvenile "
Help Juliet Sumodio,"Beautiful loving Juliet- mother, daughter, sister, friend, aunty Juliet came to Singapore for work, to create a better life "
Join us in raising funds for Habitat for Humanity Singapore!,"""I was getting bitten by bed bugs for all 83 years of my life, from the day I was born until now."" This is Uncle Chong and "
Give Xuan Phu A Second Chance,"Xuan Phu was diagnosed with Wiskott - Aldrich, a rare disease related to gene. 

Wiskott–Aldrich syndrome (WAS) is a rare "
KDF Millennium Ride 2019,"KDF Fund-Rider (/ke? di ?f 'f?ndr??d?/) Noun A person whose job or task is to: 1. Seek financial resources from friends, "
Our unsung heroes in Covid-19: Support Homage nurses and caregivers on the frontline,"Homage’s (https://www.homage.sg) mission has always been to bring wellness and recovery to seniors, adults and youth requiring "
Kidney Dialysis Foundation (KDF) Charity Ride 2019 - JK,"On 10th-14th January 2019, I will be one of the fund-riders embarking on the 6th KDF Millennium Ride, an annual endurance "
Indonesia Tsunami 2018 - Sunda Strait disaster,"Sunda Straits Tsunami Singapore Red Cross launches public fundraising appeal, Advance Team arrives in Banten for assessment "
Singapore Junior Indoor Cricketers need your support!,"After months of trials & selection by SCA (Singapore Cricket Association) and intense preparation, which included a recent "
Care Packages and Community Support for Migrant Workers,We at CHANGE are looking to help meet some of the most urgent needs within the community. One such need is that of one of 
